episode,max_velocity
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_13_51_47,1.168994
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_45_17,1.134180
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_10_19,1.118461
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_20_16,1.109939
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_25_37,1.097499
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_38_23,1.090672
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_08_17,1.048608
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_39_25,1.048060
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_47_26,1.047052
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_51_28,1.033446
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_44_18,1.030189
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_46_22,1.028147
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_52_41,1.027891
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_35_20,1.007942
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_40_29,1.004270
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_13_48_42,0.989142
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_34_08,0.986175
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_41_51,0.974185
