episode,max_velocity
beijing_guqiuyi_20260325_pm_rollout/20260324_192734_fail,0.839584
beijing_guqiuyi_20260325_pm_rollout/20260324_195655_success,0.814591
beijing_guqiuyi_20260330_pm_rollout/20260330_113453_success,0.804394
beijing_guqiuyi_20260325_pm_rollout/20260324_193212_success,0.802834
beijing_guqiuyi_20260325_pm_rollout/20260324_192402_fail,0.800467
beijing_guqiuyi_20260330_pm_rollout/20260330_143604_fail,0.793446
beijing_guqiuyi_20260325_pm_rollout/20260324_185828_fail,0.788834
beijing_guqiuyi_20260325_pm_rollout/20260324_195509_fail,0.778648
beijing_guqiuyi_20260413_pm_rollout/20260413_163224_fail,0.765517
beijing_guqiuyi_20260325_pm_rollout/20260324_193059_fail,0.751955
beijing_guqiuyi_20260325_pm_rollout/20260324_191603_fail,0.750943
beijing_guqiuyi_20260413_pm_rollout/20260413_164706_fail,0.748012
beijing_guqiuyi_20260325_pm_rollout/20260324_190017_fail,0.738756
beijing_guqiuyi_20260413_pm_rollout/20260413_162520_fail,0.734232
beijing_guqiuyi_20260325_pm_rollout/20260324_191116_fail,0.723862
beijing_guqiuyi_20260413_pm_rollout/20260413_162836_fail,0.710180
beijing_guqiuyi_20260325_pm_rollout/20260324_192554_fail,0.709289
beijing_guqiuyi_20260330_pm_rollout/20260330_114858_fail,0.708737
beijing_guqiuyi_20260330_pm_rollout/20260330_114009_success,0.683573
beijing_guqiuyi_20260413_pm_rollout/20260413_164831_fail,0.675277
beijing_guqiuyi_20260325_pm_rollout/20260324_185602_fail,0.667008
beijing_guqiuyi_20260330_pm_rollout/20260330_144205_success,0.666523
beijing_guqiuyi_20260325_pm_rollout/20260324_195239_success,0.665199
beijing_guqiuyi_20260325_pm_rollout/20260324_190406_success,0.664343
beijing_guqiuyi_20260330_pm_rollout/20260330_143052_success,0.657090
beijing_guqiuyi_20260325_pm_rollout/20260325_150921_success,0.656605
beijing_guqiuyi_20260325_pm_rollout/20260324_192901_fail,0.652910
beijing_guqiuyi_20260413_pm_rollout/20260413_164536_fail,0.650800
beijing_guqiuyi_20260330_pm_rollout/20260330_115310_success,0.646042
beijing_guqiuyi_20260330_pm_rollout/20260330_144920_fail,0.643772
beijing_guqiuyi_20260330_pm_rollout/20260330_145349_success,0.629809
beijing_guqiuyi_20260413_pm_rollout/20260413_161625_fail,0.626358
beijing_guqiuyi_20260330_pm_rollout/20260330_143335,0.625030
beijing_guqiuyi_20260330_pm_rollout/20260330_144649,0.620003
beijing_guqiuyi_20260330_pm_rollout/20260330_114315_fail,0.605707
beijing_guqiuyi_20260412_pm_rollout/20260413_145403_success,0.605630
beijing_guqiuyi_20260413_pm_rollout/20260413_162700_fail,0.585218
beijing_guqiuyi_20260330_pm_rollout/20260330_143915_success,0.581749
beijing_guqiuyi_20260325_pm_rollout/20260324_190203_fail,0.575793
beijing_guqiuyi_20260330_pm_rollout/20260330_144432_success,0.570383
beijing_guqiuyi_20260325_pm_rollout/20260324_191934_success,0.564191
beijing_guqiuyi_20260413_pm_rollout/20260413_160508_fail,0.560061
beijing_guqiuyi_20260325_pm_rollout/20260324_190629_fail,0.558923
beijing_guqiuyi_20260412_pm_rollout/20260413_151137_fail,0.556885
beijing_guqiuyi_20260412_pm_rollout/20260413_153208_success,0.555046
beijing_guqiuyi_20260325_pm_rollout/20260324_195046_fail,0.552525
beijing_guqiuyi_20260325_pm_rollout/20260324_185354_fail,0.551946
beijing_guqiuyi_20260325_pm_rollout/20260325_162010_success,0.551550
beijing_guqiuyi_20260325_pm_rollout/20260324_190942_fail,0.549591
beijing_guqiuyi_20260330_pm_rollout/20260330_114611_fail,0.548776
beijing_guqiuyi_20260325_pm_rollout/20260324_191256_fail,0.548748
beijing_guqiuyi_20260330_pm_rollout/20260330_145729_fail,0.547210
beijing_guqiuyi_20260412_pm_rollout/20260413_144949_fail,0.545639
beijing_guqiuyi_20260325_pm_rollout/20260325_161810_fail,0.542961
