episode,max_velocity
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_22_41_33,1.626905
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_17_52_02,1.531345
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_17_03_33,1.490856
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_17_18_56,1.460782
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_17_04_36,1.358953
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_22_57_30,1.331172
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_17_23_46,1.315287
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_19_01_00,1.309643
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_24_49,1.305667
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_16_57_49,1.290208
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_21_37,1.278980
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_23_04,1.271923
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_17_15_14,1.270002
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_16_59_03,1.269820
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_26_51,1.258216
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_17_22_22,1.258027
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_50_16,1.252243
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_31_26,1.247687
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_22_40_19,1.231984
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_55_23,1.227238
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_51_14,1.221215
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_17_10_15,1.214067
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_23_03_52,1.203631
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_57_46,1.201950
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_38_01,1.200997
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_17_15,1.197260
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_58_43,1.194622
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_17_09_03,1.191290
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_16_56_26,1.189230
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_42_27,1.183551
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_34_35,1.172909
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_13_51_47,1.168994
beijing_guqiuyi_20260420_pm_tele/fold_towel_gqy_0420@MASTER_SLAVE_MODE@2026_04_20_15_43_48,1.167706
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_36_57,1.164057
beijing_guqiuyi_20260420_pm_tele/fold_towel_gqy_0420@MASTER_SLAVE_MODE@2026_04_20_22_18_12,1.163570
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_22_51_18,1.162707
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_16_43_28,1.156562
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_19_02_03,1.138251
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_45_17,1.134180
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_22_55_33,1.131279
beijing_guqiuyi_20260420_pm_tele/fold_towel_gqy_0420@MASTER_SLAVE_MODE@2026_04_20_15_42_01,1.129576
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_32_29,1.129315
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_53_20,1.127899
beijing_guqiuyi_20260317_pm_tele/fold_towel_gqy_0317@MASTER_SLAVE_MODE@2026_03_17_18_56_22,1.122973
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_10_19,1.118461
beijing_guqiuyi_20260318_pm_tele/fold_towel_gqy_0318@MASTER_SLAVE_MODE@2026_03_18_14_20_16,1.109939
